season,week,contestant_id,celebrity_name,ballroom_partner,J_total,p_hat,V_hat,judge_share,fan_judge_gap,momentum,popularity_score,eliminated,uncertainty_width
31,3,371,Sam Champion,Cheryl Burke,25.0,0.002653595326343372,26535.95326343372,0.062034739454094295,-0.059381144127750925,0.0,-4.4890356297927445,0,0.015543728578508074
31,3,372,Jessie James Decker,Alan Bersten,26.0,0.0016094869238974063,16094.869238974063,0.06451612903225806,-0.06290664210836065,-2.168404344971009e-19,-4.744035629792744,0,0.031735311887192974
31,3,373,Jordin Sparks,Brandon Armstrong,29.0,0.01189258917117326,118925.8917117326,0.07196029776674938,-0.06006770859557612,-0.007714975559038105,-3.3640356297927445,0,0.03156246418016657
31,3,374,Heidi D'Amelio,Artem Chigvintsev,32.0,0.03232740903732909,323274.09037329094,0.0794044665012407,-0.0470770574639116,0.02043481986615583,-3.619035629792744,0,0.05253394204930551
31,3,375,Charli D'Amelio,Mark Ballas,33.0,0.3938284653624526,3938284.6536245258,0.08188585607940446,0.3119426092830481,-5.551115123125783e-17,-1.834035629792744,0,5.551115123125783e-17
31,3,377,Vinny Guadagnino,Koko Iwasaki,23.0,0.0005920971501361216,5920.971501361216,0.05707196029776675,-0.05647986314763063,-0.00038410601561422925,-5.209035629792744,0,0.026011381948989956
31,3,378,Shangela,Gleb Savchenko,30.0,0.0878750085473344,878750.0854733441,0.07444168734491315,0.013433321202421258,0.0,-2.5990356297927444,0,0.04611043446889278
31,3,379,Gabby Windey,Valentin Chmerkovskiy,33.0,0.14488139575494577,1448813.9575494577,0.08188585607940446,0.0629955396755413,-2.7755575615628914e-17,-2.344035629792744,0,2.7755575615628914e-17
31,4,366,Selma Blair,Sasha Farber,32.0,0.019619181191482846,196191.81191482846,0.07804878048780488,-0.058429599296322035,-7.543209221798353e-06,-3.1773768903302253,0,0.05235368220675143
31,4,367,Joseph Baena,Daniella Karagach,28.0,0.007217493412963982,72174.93412963982,0.06829268292682927,-0.06107518951386529,-2.7749915931536e-06,-4.296376890330226,0,0.05235368220675143
31,4,368,Trevor Donovan,Emma Slater,28.0,0.0026551674434197553,26551.674434197554,0.06829268292682927,-0.06563751548340951,-0.0017241467152985667,-4.414876890330225,0,0.03136977982881579
