season,week,contestant_id,celebrity_name,J_total,p_hat,z_score,kappa,tie_break,w_j,w_f,merit_score,pop_score,amei_score,amei_rank,bottom2_flag,eliminated
27,5,309,Juan Pablo Di Pace,29.0,0.4292097652290096,1.3489999993255,1.0,-5.5,0.6796062980337356,0.3203937019662644,0.2787275287681487,0.46120347642120096,0.33719167315651244,1,0,0
27,5,310,Evanna Lynch,24.0,0.0555320706985017,-0.337249999831375,1.0,-5.5,0.6796062980337356,0.3203937019662644,0.05162389806591805,0.05967148497973141,0.05420229422912998,6,0,0
27,5,312,John Schneider,24.0,0.0527530933199902,-0.337249999831375,1.0,-8.0,0.6796062980337356,0.3203937019662644,0.05162389806591805,0.05668535993856063,0.0532455585726551,7,0,0
27,5,313,Milo Manheim,27.0,0.1143573103166865,0.67449999966275,1.0,-1.0,0.6796062980337356,0.3203937019662644,0.14198688661814537,0.12288161487680228,0.13586567787786502,3,0,0
27,5,315,Mary Lou Retton,25.0,0.0595927108236281,0.0,1.0,-2.5,0.6796062980337356,0.3203937019662644,0.07232969079377802,0.06403480914875276,0.06967206295615636,5,0,0
27,5,316,DeMarcus Ware,26.0,0.0748301315587978,0.337249999831375,1.0,-7.0,0.6796062980337356,0.3203937019662644,0.10134035526808494,0.08040804196884745,0.09463377391942457,4,0,0
27,5,318,Bobby Bones,21.0,0.0502945546119872,-1.3489999993255,0.5714285714285714,-9.0,0.6796062980337356,0.3203937019662644,0.018769528052879472,0.030882033929397732,0.02265029865074529,8,1,0
27,5,320,Alexis Ren,29.0,0.1141362940330904,1.3489999993255,1.0,-4.0,0.6796062980337356,0.3203937019662644,0.2787275287681487,0.12264412382557742,0.22871938884309878,2,0,0
27,5,321,Joe Amabile,17.0,0.049294069408308,-2.697999998651,0.03,-10.0,0.6796062980337356,0.3203937019662644,0.004870685598978598,0.0015890549111292466,0.0038192717944124455,9,1,0
27,6,309,Juan Pablo Di Pace,30.0,0.563006897852803,0.674499999831375,1.0,-1.5,0.642506243756318,0.35749375624368196,0.20014937664243934,0.594342844855546,0.3410710802806673,1,0,0
27,6,310,Evanna Lynch,29.0,0.0501200920913347,0.5058749998735312,1.0,-6.5,0.642506243756318,0.35749375624368196,0.1690913279490633,0.05290968588767445,0.12755711632197844,3,0,0
27,6,312,John Schneider,19.0,0.054354318021073,-1.1803749997049062,0.03,-6.5,0.642506243756318,0.35749375624368196,0.031317873454309454,0.0017213874355376214,0.020737314495845094,9,1,0
27,6,313,Milo Manheim,30.0,0.1007208530448987,0.674499999831375,1.0,-3.0,0.642506243756318,0.35749375624368196,0.20014937664243934,0.10632679379824128,0.16660838908098297,2,0,0
27,6,315,Mary Lou Retton,24.0,0.0325202568857019,-0.3372499999156875,1.0,-5.0,0.642506243756318,0.35749375624368196,0.07277074144826273,0.03433027564421518,0.05902851493621696,6,0,1
27,6,316,DeMarcus Ware,26.0,0.0502343897210879,0.0,1.0,-4.0,0.642506243756318,0.35749375624368196,0.10195830662592924,0.05303034511704951,0.08446686588077354,5,0,0
27,6,318,Bobby Bones,22.0,0.0412538813398503,-0.674499999831375,1.0,-8.0,0.642506243756318,0.35749375624368196,0.05193868931502215,0.043549997860364016,0.04893978449692714,7,0,0
27,6,320,Alexis Ren,27.0,0.0665354297033998,0.16862499995784375,1.0,-1.5,0.642506243756318,0.35749375624368196,0.12068561860751227,0.07023867154100795,0.10265115000968145,4,0,0
